md5,sha1,sha256,vhash,creation_date,first_submission,last_analysis,file_names,file_type,file_size,imphash,statement,microsoft_defender,tags,url
cf474dbebbbbbc394db61d876b62a219,ac0b5ed0e1a02ade91161a51766e8354354e1099,cf608be7dc6738dd178dc5a63bb21925e70800667a5876f2742bed59b5f6f5a1,8a6582ebe396de28feae178e13cd504d,2016-04-18T18:01:00,2016-04-20T17:49:37,2016-05-12T03:10:09,[Campbell Soup Co.doc],,133.00KB (136192 bytes),,24 / 56,TrojanDownloader:O97M/Donoff,[obfuscated macros doc create-ole],https://www.virustotal.com/gui/file/cf608be7dc6738dd178dc5a63bb21925e70800667a5876f2742bed59b5f6f5a1
ffb4480220c57db1a509f30a48503d7a,59479dff247d937021d10f658fdde9d7fed77b25,ef4b06c20fae78d44c41402163d7624833fbbff4993d228682718b6b637fd637,f2a72d3b1f3d401173c5fc4df0a02b5c,2016-04-18T17:30:00,2016-04-18T20:32:31,2016-05-12T03:10:36,[Brite Divinity School-ACody.doc],,142.00KB (144896 bytes),,22 / 56,TrojanDownloader:O97M/Donoff,[obfuscated macros doc create-ole],https://www.virustotal.com/gui/file/ef4b06c20fae78d44c41402163d7624833fbbff4993d228682718b6b637fd637
aa0c0ca1a48ea3c77d00ab9c1777c2f7,736292be37432784cddfe38c40bdb2cc5e10a8b9,ae56c3c196a60d380782a61d318065577b3f6abd04489c7c24d50fef1ed1429e,c56f0a63dd71a0d944b73204d9dfe15f,2016-04-18T17:53:00,2016-04-18T21:36:21,2016-05-12T03:10:59,[Miller-Valentine Group.doc],,139.00KB (141824 bytes),,22 / 56,TrojanDownloader:O97M/Donoff,[obfuscated macros doc create-ole],https://www.virustotal.com/gui/file/ae56c3c196a60d380782a61d318065577b3f6abd04489c7c24d50fef1ed1429e
ae57ce7ef337b281ea8a5eb7064d433f,818f396b9280e0031f2e259fb049be2fb4f9e816,976ec8a4ed5026842ad397565c9ae1ee6911ffdd4007d2761e9b573e79f41384,8c51268a5f148ee06c809a866d643201,2016-04-18T17:33:00,2016-04-18T18:44:56,2016-05-12T03:10:24,[Gellman Research Associate.doc],,138.00KB (141312 bytes),,23 / 56,TrojanDownloader:O97M/Donoff,[obfuscated macros doc create-ole],https://www.virustotal.com/gui/file/976ec8a4ed5026842ad397565c9ae1ee6911ffdd4007d2761e9b573e79f41384
73c409bc47f91e5290f803f0823aec2b,053b5a874d82a34eba828cc5df60ccb4bc86daa2,ce0c220603d23fbb072f91a6a813c07e0c1d02559f54f9899d3d3be1db6d8851,5f08fd43771585e215a61693e58ccc73,2016-02-25T17:15:00,2016-02-26T06:11:21,2020-02-14T19:03:39,[Invoice_897-84579.doc qb_invoice_1147630.doc],,24.00KB (24924 bytes),,38 / 64,,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/ce0c220603d23fbb072f91a6a813c07e0c1d02559f54f9899d3d3be1db6d8851
1170efc7f6b01e2a17454d2734a8b95d,3f148bac3cbe8f06819d138db5994d51c8052b9b,d78e20396efc39af29717d8dcceaf48a241ebd36a2f89d0c903ecf81fa9f5d0c,5f08fd43771585e215a61693e58ccc73,2016-02-22T03:30:00,2016-02-22T10:16:57,2020-02-19T18:00:56,[invoice_32117172.doc Intuit_updates-65175.doc 6026f3cc38f8d9e5e833ed29f9d1ae35 c5f8913dfbf635573166464c71ad315c 59630f81d06140383cf76fa53c8ce8a9],,24.00KB (24941 bytes),,42 / 64,Trojan:O97M/Madeba.A!det,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/d78e20396efc39af29717d8dcceaf48a241ebd36a2f89d0c903ecf81fa9f5d0c
e2d4e073b75ea4368c0f1b15c7729ad0,07467af0f5e4dea6965e1479b114a78e29dde527,5cdf41ef8cc330a5ea7fa06de6e220afdd8c2d5b708041296801f45bcafa16e3,5f08fd43771585e215a61693e58ccc73,2016-02-22T03:30:00,2016-02-22T12:13:44,2020-01-10T00:54:13,[Intuit_updates-65165.doc e38e9de6319820a4d20c08fa80542601],,24.00KB (24843 bytes),,41 / 64,Trojan:O97M/Madeba.A!det,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/5cdf41ef8cc330a5ea7fa06de6e220afdd8c2d5b708041296801f45bcafa16e3
7abdd24acca5cc5d10d77213ca258c40,f4888d5b02cc016fc4dc63eda6e91921c2e8c078,d4e3fb25f0d397967f1e88baffb97cfd6f40953d0c9f998d1c4694d1982d2d65,5f08fd43771585e215a61693e58ccc73,2016-02-22T03:31:00,2016-02-22T11:08:30,2018-11-19T07:11:36,[invoice_321882.doc 054ddca6bc34873a06a2b5b7c540d647 7c32400c6c12de11fa9a508bb9efb4b5 673701b6bd62c6a98f8cf6416e4cfc04],,24.00KB (24921 bytes),,37 / 61,TrojanDownloader:O97M/Donoff,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/d4e3fb25f0d397967f1e88baffb97cfd6f40953d0c9f998d1c4694d1982d2d65
50c32b49f8f1c605ae78d36aaf433164,50f426430d5305a3bee8bc6c607b40f6bf5ff10a,8efdfcf63f1dbfa9666bce23246f49c5788ec8c8edacc722038d9110375d89b5,5f08fd43771585e215a61693e58ccc73,2016-02-22T03:30:00,2016-02-22T12:28:18,2020-01-10T01:28:12,[invoice_32112122.doc 3b1bf79f278c8f32c031ca598edd4dce Intuit_updates-65125.doc 09af3ab044c2c5f2910d23d78bca17ea],,24.00KB (24960 bytes),,41 / 61,TrojanDownloader:O97M/Donoff,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/8efdfcf63f1dbfa9666bce23246f49c5788ec8c8edacc722038d9110375d89b5
2065c03c9c4456061022077a1e805b06,6cb74f9a788b51d4a064711b8b1ecc51586d01de,e5c5385b79743ced00adebc0daae5fa619cf3836417bc2b0379f98a24f81c4bb,5f08fd43771585e215a61693e58ccc73,2016-02-22T03:30:00,2016-02-22T10:17:52,2018-12-04T10:23:17,[682ce07d78e0f9b635b91ed8c9453cf2 1377359b40ea09fdd9fce0e4926f057e 609864af844fcc583f6d8931f8bb7b47 (e5c5385b79743ced00adebc0daae5fa619cf3836417bc2b0379f98a24f81c4bb) - invoice_321112.doc ca6977fecf5b066624dfabbf3bc6885e],,24.00KB (24946 bytes),,40 / 61,Trojan:O97M/Madeba.A!det,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/e5c5385b79743ced00adebc0daae5fa619cf3836417bc2b0379f98a24f81c4bb
25ea3c797bc0954012aac08f476361ce,61ae557a7c8406bf26f7ee0fe488f5975b1f8087,c0515052e8bc2e2772b29cbb694e72af9a6c2be8ebceba5766bcdaf26fe955da,5f08fd43771585e215a61693e58ccc73,2016-02-22T03:32:00,2016-02-22T10:27:08,2018-11-19T07:10:35,[63f9ea77fc64a8d8f5666021540f9340 invoice_321992.doc e25f27e6c8b8003a173a9ee67d5bc34f 88352cee47fefd83e9cb416790acd09c 7cfbcc465423e3b1d05c820cf35f3986],,24.00KB (24883 bytes),,36 / 59,Trojan:O97M/Madeba.A!det,[obfuscated open-file auto-open create-file docx macros write-file create-ole],https://www.virustotal.com/gui/file/c0515052e8bc2e2772b29cbb694e72af9a6c2be8ebceba5766bcdaf26fe955da
d7f10f0195b718e1fab63cd5ad6f77aa,099f30502894e8ceeaff2ba312f25f10083deaf1,b5b6b37f28dc16bbbac8df75af51f66436f7a4b4dec7ee3d911fb2601c1bb3b5,09c669ea80e95b7792b44a56d386c47f,2016-02-17T10:21:00,2016-02-17T16:04:04,2016-05-17T21:40:50,[fedex-20160217-134582467925.doc 4f71e9604c844066cc262882eabd9711 dfd6810c40264220ea7181e722140613 099f30502894e8ceeaff2ba312f25f10083deaf1.doc],,183.00KB (186880 bytes),,37 / 57,TrojanDropper:O97M/Artitex.C,[obfuscated open-file auto-open doc run-file macros environ create-ole],https://www.virustotal.com/gui/file/b5b6b37f28dc16bbbac8df75af51f66436f7a4b4dec7ee3d911fb2601c1bb3b5
885ea084aa2281ba106d13c19f014c4d,7d1c3a9d02f698480039a1fe08ee340c202bdf98,642420b08d6333b8cf48014b62c60f9bd1f51be4b3c00b6023e824987d177b73,f733be6a661fecf1c38415c433c5cb25,2016-02-17T10:21:00,2016-02-17T15:55:03,2020-09-06T16:52:08,[eba41f09788bf0bad97590c420fddb5d31453be260a47b760f017b0bc9f6213bfinal_invoice.doc ce138ac0e656cae0fcf9105147b48f217b803b8e85cba677562aee2876ac8603final_invoice.doc 31d9de8e9912a5afb14116352b69b02cd8412d3e3a9565dc9a33b8df2d8fac1efinal_invoice.doc final_invoice.doc C:\Users\ThuyND\Desktop\massive\Fareit\642420b08d6333b8cf48014b62c60f9bd1f51be4b3c00b6023e824987d177b73 file.doc VIRUSS.doc final_invoice_spam.doc 020c11be873275dee5ec061538354d1f e238f1a4d5a8d95501515c42ebe81599 7d1c3a9d02f698480039a1fe08ee340c202bdf98.doc],,194.00KB (198656 bytes),,41 / 59,TrojanDropper:O97M/Artitex.C,[obfuscated open-file auto-open run-file macros environ attachment via-tor xls create-ole],https://www.virustotal.com/gui/file/642420b08d6333b8cf48014b62c60f9bd1f51be4b3c00b6023e824987d177b73
f33d13a2bc29cf8e1ccd44c1f6eaf342,1375da78dddd0d00849df327a1c3e6017eb8fec9,4d0c14edfa616c0a5618b312f5ca90b3a29188288f35c5d8c1c2ae37ef11371f,494a9e356057863aecbaa6173fd46e23,2016-03-15T17:37:00,2016-03-15T19:45:50,2020-01-27T21:15:53,[Harley-Davidson Motor Company_Unpaid_Quote_ Starbucks_Unpaid_Quote_ref.Z140443366.doc Z140443366.doc GoPro_Past due_Quote_#Z178464070.doc],,122.00KB (124928 bytes),,38 / 61,TrojanDownloader:O97M/Adnel.S,[obfuscated auto-open doc macros environ create-ole],https://www.virustotal.com/gui/file/4d0c14edfa616c0a5618b312f5ca90b3a29188288f35c5d8c1c2ae37ef11371f
